1,Basketball Men's Basketball,1992
2,Judo Men's Extra-Lightweight,2012
3,Football Men's Football,1920
4,Tug-Of-War Men's Tug-Of-War,1900
5,Speed Skating Women's 500 metres,1988
6,"Speed Skating Women's 1,000 metres",1988
7,Cross Country Skiing Men's 10 kilometres,1992
8,Cross Country Skiing Men's 50 kilometres,1992
9,Cross Country Skiing Men's 10/15 kilometres Pursuit,1992
10,Cross Country Skiing Men's 4 x 10 kilometres Relay,1992
11,Cross Country Skiing Men's 30 kilometres,1994
12,Athletics Women's 100 metres,1932
13,Athletics Women's 4 x 100 metres Relay,1932
14,Ice Hockey Men's Ice Hockey,2002
15,Swimming Men's 400 metres Freestyle,1952
16,Badminton Men's Singles,2000
17,Sailing Women's Windsurfer,1996
18,Biathlon Women's 7.5 kilometres Sprint,1994
19,Swimming Men's 200 metres Breaststroke,1912
20,Swimming Men's 400 metres Breaststroke,1912
21,Gymnastics Men's Individual All-Around,1948
22,Gymnastics Men's Team All-Around,1948
23,Gymnastics Men's Floor Exercise,1948
24,Gymnastics Men's Horse Vault,1948
25,Gymnastics Men's Parallel Bars,1948
26,Gymnastics Men's Horizontal Bar,1948
27,Gymnastics Men's Rings,1948
28,Gymnastics Men's Pommelled Horse,1948
29,Athletics Men's Shot Put,2000
30,"Art Competitions Mixed Sculpturing, Unknown Event",1948
31,Alpine Skiing Men's Downhill,1992
32,Alpine Skiing Men's Super G,1992
33,Alpine Skiing Men's Giant Slalom,1992
34,Alpine Skiing Men's Slalom,1992
35,Alpine Skiing Men's Combined,1994
36,Handball Women's Handball,2008
37,Weightlifting Women's Super-Heavyweight,2016
38,"Wrestling Men's Light-Heavyweight, Greco-Roman",2000
39,Speed Skating Men's 500 metres,1960
40,"Speed Skating Men's 1,500 metres",1960
41,"Gymnastics Men's Team All-Around, Free System",1920
42,Luge Women's Singles,1984
43,Water Polo Men's Water Polo,1984
44,Sailing Mixed Three Person Keelboat,1968
45,Hockey Women's Hockey,1988
46,Rowing Men's Lightweight Double Sculls,1996
47,Athletics Men's Pole Vault,1936
48,Athletics Men's High Jump,1912
49,Sailing Men's Two Person Dinghy,1992
50,"Athletics Men's 1,500 metres",2012
51,Bobsleigh Men's Four,1998
52,Swimming Men's 100 metres Butterfly,1996
53,Swimming Men's 200 metres Butterfly,1996
54,Swimming Men's 4 x 100 metres Medley Relay,1996
55,Football Women's Football,1996
56,"Fencing Men's Foil, Individual",1912
57,"Fencing Men's epee, Individual",1912
58,"Fencing Men's epee, Team",1912
59,"Speed Skating Men's 5,000 metres",1956
60,"Speed Skating Men's 10,000 metres",1960
61,Sailing Mixed 8 metres,1912
62,"Equestrianism Mixed Jumping, Individual",1992
63,Cross Country Skiing Men's 15 kilometres,2002
64,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1936
65,"Shooting Men's Rapid-Fire Pistol, 25 metres",1936
66,Shooting Men's Trap,1952
67,Athletics Men's 4 x 100 metres Relay,1920
68,Athletics Men's Long Jump,1920
69,Boxing Men's Light-Welterweight,2012
70,Athletics Women's Javelin Throw,2004
71,"Wrestling Men's Heavyweight, Freestyle",1992
72,Taekwondo Men's Flyweight,2000
73,Boxing Men's Heavyweight,1948
74,"Athletics Men's 5,000 metres",2016
75,"Cycling Men's Road Race, Individual",1956
76,"Cycling Men's Road Race, Team",1956
77,Weightlifting Men's Lightweight,1956
78,Weightlifting Men's Middleweight,1960
79,Rowing Men's Coxless Pairs,2016
80,Judo Men's Half-Middleweight,1992
81,Taekwondo Women's Flyweight,2016
82,Boxing Men's Flyweight,1972
83,Basketball Women's Basketball,2008
84,Diving Men's Platform,2000
85,"Canoeing Men's Canadian Doubles, 500 metres",1992
86,"Canoeing Men's Canadian Doubles, 1,000 metres",1992
87,"Canoeing Men's Kayak Fours, 1,000 metres",2004
88,Handball Men's Handball,2008
89,Rowing Women's Coxless Pairs,2012
90,Boxing Men's Middleweight,1968
91,Judo Men's Lightweight,1996
92,Boxing Men's Featherweight,1924
93,Tennis Men's Doubles,2000
94,Shooting Mixed Skeet,1992
95,"Wrestling Men's Featherweight, Freestyle",2004
